rank,title,total ratings,installs,average rating,growth (30 days),growth (60 days),price,category,5 star ratings,4 star ratings,3 star ratings,2 star ratings,1 star ratings,paid
1,Garena Free Fire - The Cobra,80678661,500.0 M,4.33,2.9,7.9,0,GAME ACTION,61935712,4478738,2795172,1814999,9654037,FALSE
2,PUBG MOBILE: Graffiti Prank,35971961,100.0 M,4.24,2,3.1,0,GAME ACTION,26670566,2109631,1352610,893674,4945478,FALSE
3,Mobile Legends: Bang Bang,25836869,100.0 M,4.08,1.6,3.3,0,GAME ACTION,17850942,1796761,1066095,725429,4397640,FALSE
4,Brawl Stars,17181659,100.0 M,4.27,4.1,6.6,0,GAME ACTION,12493668,1474319,741410,383478,2088781,FALSE
5,Sniper 3D: Fun Free Online FPS Shooting Game,14237554,100.0 M,4.33,0.8,1.8,0,GAME ACTION,9657878,2124544,1034025,375159,1045945,FALSE
6,Shadow Fight 2,14048931,100.0 M,4.57,0.6,1.5,0,GAME ACTION,11532143,961926,448184,217044,889631,FALSE
7,Call of Duty®: Mobile - Day of Reckoning,13020115,100.0 M,4.47,2.8,5.1,0,GAME ACTION,10079925,1210326,488294,261610,979958,FALSE
8,Among Us,11298789,100.0 M,3.65,6.3,12.3,0,GAME ACTION,6173970,1026476,770574,614021,2713745,FALSE
9,Temple Run 2,9554877,500.0 M,4.21,0.3,0.6,0,GAME ACTION,6521348,996144,615544,343978,1077860,FALSE
10,PUBG MOBILE LITE,7392911,100.0 M,4.16,1.3,2.9,0,GAME ACTION,5231571,494013,343880,232468,1090976,FALSE
11,slither.io,6475640,100.0 M,4.07,0.4,1,0,GAME ACTION,4089508,765605,486813,250455,883255,FALSE
12,Gangstar Vegas: World of Crime,6203689,100.0 M,4.3,0.5,1.1,0,GAME ACTION,4466149,597997,313912,165629,660000,FALSE
13,Pixel Gun 3D: FPS Shooter & Battle Royale,5651287,100.0 M,4.15,0.3,0.6,0,GAME ACTION,3855710,524170,321185,183340,766880,FALSE
14,Bowmasters,5245027,100.0 M,4.55,2.3,4.5,0,GAME ACTION,4170692,464285,216008,93697,300341,FALSE
15,Standoff 2,4457338,50.0 M,4.54,6.1,13.7,0,GAME ACTION,3611434,335328,123915,59903,326756,FALSE
16,Crossy Road,4456347,100.0 M,4.54,0.1,0.2,0,GAME ACTION,3378135,575185,232942,67203,202879,FALSE
17,Banana Kong,4448938,100.0 M,4.57,0.5,1.2,0,GAME ACTION,3440564,524996,227009,72803,183564,FALSE
18,Garena Liên Quân Mobile,4443546,50.0 M,4.11,2.1,3.9,0,GAME ACTION,3055909,371966,198693,100809,716166,FALSE
19,Helix Jump,4260419,100.0 M,4.07,0,0.2,0,GAME ACTION,2654404,542456,338551,178344,546662,FALSE
20,War Robots. 6v6 Tactical Multiplayer Battles,4193941,50.0 M,4,0.3,0.7,0,GAME ACTION,2635805,449195,262329,160045,686564,FALSE
21,MORTAL KOMBAT: The Ultimate Fighting Game!,4162892,50.0 M,4.21,0.6,1.1,0,GAME ACTION,2838747,455601,251087,133593,483861,FALSE
22,Agar.io,4097530,100.0 M,3.93,0.2,0.5,0,GAME ACTION,2501119,430052,288167,152746,725443,FALSE
