RecordID,Country,Gender,Demographics Question,Demographics Response,Question,Survey Year,Value,HDI
1,Afghanistan,F,Marital status,Never married,... if she burns the food,01/01/2015,,169
1,Afghanistan,F,Education,Higher,... if she burns the food,01/01/2015,10.1,169
1,Afghanistan,F,Education,Secondary,... if she burns the food,01/01/2015,13.7,169
1,Afghanistan,F,Education,Primary,... if she burns the food,01/01/2015,13.8,169
1,Afghanistan,F,Marital status,"Widowed, divorced, separated",... if she burns the food,01/01/2015,13.8,169
1,Afghanistan,F,Employment,Employed for kind,... if she burns the food,01/01/2015,17,169
1,Afghanistan,F,Age,15-24,... if she burns the food,01/01/2015,17.3,169
1,Afghanistan,F,Employment,Unemployed,... if she burns the food,01/01/2015,18,169
1,Afghanistan,F,Residence,Rural,... if she burns the food,01/01/2015,18.1,169
1,Afghanistan,F,Age,25-34,... if she burns the food,01/01/2015,18.2,169
1,Afghanistan,F,Marital status,Married or living together,... if she burns the food,01/01/2015,18.3,169
1,Afghanistan,F,Residence,Urban,... if she burns the food,01/01/2015,18.3,169
1,Afghanistan,F,Age,35-49,... if she burns the food,01/01/2015,18.8,169
1,Afghanistan,F,Education,No education,... if she burns the food,01/01/2015,19.1,169
1,Afghanistan,F,Employment,Employed for cash,... if she burns the food,01/01/2015,20.8,169
1,Afghanistan,M,Marital status,Never married,... if she burns the food,01/01/2015,,169
1,Afghanistan,M,Education,Higher,... if she burns the food,01/01/2015,4.5,169
1,Afghanistan,M,Residence,Urban,... if she burns the food,01/01/2015,4.6,169
1,Afghanistan,M,Employment,Unemployed,... if she burns the food,01/01/2015,5.2,169
1,Afghanistan,M,Education,Primary,... if she burns the food,01/01/2015,6.3,169
1,Afghanistan,M,Marital status,"Widowed, divorced, separated",... if she burns the food,01/01/2015,6.3,169
1,Afghanistan,M,Education,Secondary,... if she burns the food,01/01/2015,7.1,169
1,Afghanistan,M,Age,25-34,... if she burns the food,01/01/2015,8.2,169
1,Afghanistan,M,Employment,Employed for cash,... if she burns the food,01/01/2015,8.4,169
1,Afghanistan,M,Marital status,Married or living together,... if she burns the food,01/01/2015,8.5,169
1,Afghanistan,M,Age,35-49,... if she burns the food,01/01/2015,8.6,169
1,Afghanistan,M,Age,15-24,... if she burns the food,01/01/2015,9.4,169
1,Afghanistan,M,Residence,Rural,... if she burns the food,01/01/2015,9.7,169
1,Afghanistan,M,Education,No education,... if she burns the food,01/01/2015,10.6,169
1,Afghanistan,M,Employment,Employed for kind,... if she burns the food,01/01/2015,10.7,169
351,Afghanistan,F,Age,15-24,... for at least one specific reason,01/01/2015,80.1,169
