RecordID,Country,Gender,Demographics Question,Demographics Response,Question,Survey Year,Value,hti
1,Afghanistan,F,Marital status,Never married,... if she burns the food,01/01/2015,,1
1,Afghanistan,F,Education,Higher,... if she burns the food,01/01/2015,10.1,2
1,Afghanistan,F,Education,Secondary,... if she burns the food,01/01/2015,13.7,3
1,Afghanistan,F,Education,Primary,... if she burns the food,01/01/2015,13.8,4
1,Afghanistan,F,Marital status,"Widowed, divorced, separated",... if she burns the food,01/01/2015,13.8,5
1,Afghanistan,F,Employment,Employed for kind,... if she burns the food,01/01/2015,17,6
1,Afghanistan,F,Age,15-24,... if she burns the food,01/01/2015,17.3,7
1,Afghanistan,F,Employment,Unemployed,... if she burns the food,01/01/2015,18,8
1,Afghanistan,F,Residence,Rural,... if she burns the food,01/01/2015,18.1,9
1,Afghanistan,F,Age,25-34,... if she burns the food,01/01/2015,18.2,10
1,Afghanistan,F,Marital status,Married or living together,... if she burns the food,01/01/2015,18.3,11
1,Afghanistan,F,Residence,Urban,... if she burns the food,01/01/2015,18.3,12
1,Afghanistan,F,Age,35-49,... if she burns the food,01/01/2015,18.8,13
1,Afghanistan,F,Education,No education,... if she burns the food,01/01/2015,19.1,14
1,Afghanistan,F,Employment,Employed for cash,... if she burns the food,01/01/2015,20.8,15
1,Afghanistan,M,Marital status,Never married,... if she burns the food,01/01/2015,,16
1,Afghanistan,M,Education,Higher,... if she burns the food,01/01/2015,4.5,17
1,Afghanistan,M,Residence,Urban,... if she burns the food,01/01/2015,4.6,18
1,Afghanistan,M,Employment,Unemployed,... if she burns the food,01/01/2015,5.2,19
1,Afghanistan,M,Education,Primary,... if she burns the food,01/01/2015,6.3,20
1,Afghanistan,M,Marital status,"Widowed, divorced, separated",... if she burns the food,01/01/2015,6.3,21
1,Afghanistan,M,Education,Secondary,... if she burns the food,01/01/2015,7.1,22
1,Afghanistan,M,Age,25-34,... if she burns the food,01/01/2015,8.2,23
1,Afghanistan,M,Employment,Employed for cash,... if she burns the food,01/01/2015,8.4,24
1,Afghanistan,M,Marital status,Married or living together,... if she burns the food,01/01/2015,8.5,25
1,Afghanistan,M,Age,35-49,... if she burns the food,01/01/2015,8.6,26
1,Afghanistan,M,Age,15-24,... if she burns the food,01/01/2015,9.4,27
1,Afghanistan,M,Residence,Rural,... if she burns the food,01/01/2015,9.7,28
1,Afghanistan,M,Education,No education,... if she burns the food,01/01/2015,10.6,29
1,Afghanistan,M,Employment,Employed for kind,... if she burns the food,01/01/2015,10.7,30
351,Afghanistan,F,Age,15-24,... for at least one specific reason,01/01/2015,80.1,31
351,Afghanistan,F,Age,25-34,... for at least one specific reason,01/01/2015,81.5,32
351,Afghanistan,F,Age,35-49,... for at least one specific reason,01/01/2015,79,33
71,Afghanistan,F,Age,15-24,... if she argues with him,01/01/2015,57.5,34
71,Afghanistan,F,Age,25-34,... if she argues with him,01/01/2015,60,35
71,Afghanistan,F,Age,35-49,... if she argues with him,01/01/2015,59.8,36
141,Afghanistan,F,Age,15-24,... if she goes out without telling him,01/01/2015,67.7,37
141,Afghanistan,F,Age,25-34,... if she goes out without telling him,01/01/2015,68.5,38
141,Afghanistan,F,Age,35-49,... if she goes out without telling him,01/01/2015,64.7,39
211,Afghanistan,F,Age,15-24,... if she neglects the children,01/01/2015,46.5,40
211,Afghanistan,F,Age,25-34,... if she neglects the children,01/01/2015,50.2,41
211,Afghanistan,F,Age,35-49,... if she neglects the children,01/01/2015,48.1,42
281,Afghanistan,F,Age,15-24,... if she refuses to have sex with him,01/01/2015,32.1,43
281,Afghanistan,F,Age,25-34,... if she refuses to have sex with him,01/01/2015,34.3,44
281,Afghanistan,F,Age,35-49,... if she refuses to have sex with him,01/01/2015,33.5,45
351,Afghanistan,F,Education,Higher,... for at least one specific reason,01/01/2015,61.1,46
351,Afghanistan,F,Education,No education,... for at least one specific reason,01/01/2015,81,47
351,Afghanistan,F,Education,Primary,... for at least one specific reason,01/01/2015,79.8,48
351,Afghanistan,F,Education,Secondary,... for at least one specific reason,01/01/2015,76,49
71,Afghanistan,F,Education,Higher,... if she argues with him,01/01/2015,37.7,50
71,Afghanistan,F,Education,No education,... if she argues with him,01/01/2015,60.2,51
71,Afghanistan,F,Education,Primary,... if she argues with him,01/01/2015,56.9,52
71,Afghanistan,F,Education,Secondary,... if she argues with him,01/01/2015,55.4,53
141,Afghanistan,F,Education,Higher,... if she goes out without telling him,01/01/2015,41.1,54
141,Afghanistan,F,Education,No education,... if she goes out without telling him,01/01/2015,68.4,55
141,Afghanistan,F,Education,Primary,... if she goes out without telling him,01/01/2015,64.1,56
141,Afghanistan,F,Education,Secondary,... if she goes out without telling him,01/01/2015,58.2,57
211,Afghanistan,F,Education,Higher,... if she neglects the children,01/01/2015,33.4,58
211,Afghanistan,F,Education,No education,... if she neglects the children,01/01/2015,48.9,59
211,Afghanistan,F,Education,Primary,... if she neglects the children,01/01/2015,50.6,60
211,Afghanistan,F,Education,Secondary,... if she neglects the children,01/01/2015,44.4,61
281,Afghanistan,F,Education,Higher,... if she refuses to have sex with him,01/01/2015,10.8,62
